歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Explain,Blur、,摇滚-英伦摇滚、,热血、动感、KTV、,英语,,
Ignorance,Paramore、,摇滚、另类/独立、朋克、,,英语,85,
"""Heroes""",David Bowie、,摇滚-英伦摇滚、摇滚-华丽摇滚、,热血、动感、放松、激烈、大气、,英语,112,
Supremacy,Muse、,摇滚-英伦摇滚、,热血、动感、,英语,78,
Learn to Fly,Foo Fighters、,摇滚-流行摇滚、摇滚-另类摇滚、另类/独立、,热血、动感、,英语,136,
Hands Up,Prophets of Rage、,摇滚-说唱摇滚、,热血、动感、,英语,99,
Sex on Fire,Kings of Leon、,摇滚-南方摇滚、,热血、动感、,英语,156,
Immigrant Song (Remaster),Led Zeppelin、,摇滚、,热血、动感、放松、,英语,114,
Know Your Enemy,Green Day、,摇滚、朋克、,热血、动感、,英语,130,
Blew,Nirvana、,摇滚-垃圾摇滚、,热血、动感、活力、,英语,130,
There She Goes,The La's、,摇滚-英伦摇滚、,动感、活力、放松、旅游、,英语,122,
Smells Like Teen Spirit,Nirvana、,摇滚-垃圾摇滚、,热血、动感、活力、愤怒、有氧、驾车、家务、,英语,117,
We Will Rock You,Queen、,摇滚-经典摇滚、,热血、动感、紧张、快乐、活力、放松、KTV、正直、轻快、正能量、激烈、大气、极限运动、,英语,81,
Out of the Black,Royal Blood、,摇滚、另类/独立、,热血、动感、活力、,英语,161,
Come out and Play,The Offspring、,朋克-后朋克、,热血、动感、活力、,英语,157,
Eye of the Tiger,Survivor、,摇滚、,热血、动感、快乐、,英语,110,
Livin' On A Prayer,Bon Jovi、,摇滚-硬摇滚、,热血、动感、快乐、KTV、,英语,122,
Fool's Day,Blur、,摇滚-英伦摇滚、,热血、动感、快乐、放松、KTV、,英语,111,
Back In Black,AC/DC、,摇滚-硬摇滚、,热血、动感、快乐、活力、放松、愤怒、旅游、激烈、大气、举铁、,英语,93,
Believer,Imagine Dragons、Lil Wayne、,摇滚-流行摇滚、,热血、抒情、动感、快乐、思念、活力、篮球、正能量、有氧、,英语,62,李伟前部分的歌词快速激昂有力，后部分歌词带着哭腔，就像他成为说唱巨星的背后是一段痛哭不堪的经历，“我从食物链的底层走向顶端，任何人喊我出来都不算数，我能把西装穿得干净整洁，我能像龙炎一样不需要呼气，我完成了斑马到独角兽的转变。”每次听完都不由得鼻头发酸。
The Pretender,Foo Fighters、,摇滚、,热血、动感、,英语,86,
I'm Shipping Up To Boston,Dropkick Murphys、,原声带-电影原声、,热血、动感、放松、治愈、,英语,132,
Hurts Like Heaven,Coldplay、,摇滚-流行摇滚、,热血、动感、放松、,英语,89,
Somebody Told Me,The Killers、,摇滚、,热血、动感、,英语,139,
Enter Sandman,Metallica、,金属-激流金属、,热血、抒情、动感、快乐、愤怒、激烈、,英语,123,
Down With The Sickness,Disturbed、,金属、,热血、动感、幸福、紧张、快乐、活力、愤怒、神秘、黑暗、烦躁、洒脱、激烈、举铁、,英语,89,
Sweet Child O' Mine,Guns N' Roses、,摇滚-硬摇滚、,热血、动感、活力、,英语,125,
Break Stuff,Limp Bizkit、,金属、,热血、动感、活力、,英语,140,
Seven Nation Army,The White Stripes、,摇滚-另类摇滚、摇滚-车库摇滚、节奏布鲁斯-另类节奏布鲁斯、,热血、动感、放松、足球、极限运动、,英语,122,
Scene & Herd,Meeting At Midnight、,摇滚、,热血、动感、梦幻、放松、,英语,93,
