歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Friends,郑晟河、,,放松、助眠、,纯音乐,151,
Congratulations,押尾コータロー、,流行-日本流行、,抒情、,纯音乐,107,
Like A Star,Youngso Kim、,,放松、轻快、快乐、治愈、清新、,纯音乐,83,
少年の僕,押尾コータロー、,流行-日本流行、,清新、快乐、放松、,纯音乐,109,
4 Days of August,Alexandr Misko、,新世纪、,快乐、放松、,英语,,
South Mountain,Will McNicol、,,平静、放松、学习、,纯音乐,,
Somewhere Home,Mike Dawes、,民谣、,清新、放松、,纯音乐,,
For You,DEPAPEKO、,,清新、放松、,纯音乐,156,
Padim's in the Night,Daniel Padim、,,动感、活力、助眠、极限运动、,纯音乐,127,
Dodo诞生记 The Nativity Of Dodo,宋依凡（Ivan Song）、,轻音乐、,平静、放松、学习、,纯音乐,,
Hiding Place For The Moon,Van Larkins、Trevor Gordon Hall、Antoine Dufour、,民谣、,梦幻、放松、治愈、,英语,,
Serenity,Daniel Padim、,民谣、,放松、治愈、,纯音乐,130,
Snow in Stuttgart,Alexandr Misko、,新世纪、,抒情、放松、冥想、,英语,,
Payphone,Daniel Padim、,流行、,放松、治愈、,纯音乐,101,
Yamabuki,Okapi、,流行-器乐流行、,平静、放松、,纯音乐,,
Stairway To Heaven,Luca Stricagnoli、,摇滚-民谣摇滚、,放松、治愈、,英语,161,
November,岸部眞明、,轻音乐、新世纪、,放松、抒情、,纯音乐,146,
If I Had a Car,Daniel Padim、,轻音乐、,放松、治愈、,纯音乐,144,
週末旅行,押尾コータロー、,流行-日本流行、,抒情、平静、放松、,纯音乐,167,
With or Without You,Daniel Padim、,流行、,抒情、悲伤、孤独、,英语,126,
Dolphins,Don Ross、Andy McKee、,,清新、放松、,纯音乐,100,
(The Man with The) Green Thumb [feat. Brooks Robertson],John Standefer、Brooks Robertson、,流行-器乐流行、轻音乐、,放松、清新、,纯音乐,80,
Aurora Borealis,John H. Clarke、,流行-器乐流行、,抒情、清新、动感、爱情、思念、浪漫、放松、洒脱、,纯音乐,53,
Midsummer (Bonus Track) [feat. Sönke Meinen],Will McNicol、Sönke Meinen、,民谣、,平静、放松、,纯音乐,127,
Berkley Springs,Don Ross、,乡村、新世纪、,放松、治愈、,,150,
Sunnyland,Ed Gerhard、,蓝调、,放松、清新、,纯音乐,162,
落在淡水的月光,林仁建、,,清新、悲伤、放松、孤独、,纯音乐,214,
Grace,Calum Graham、Antoine Dufour、,,放松、,英语,75,
One,Guitar Dreamers、,摇滚、,清新、放松、,纯音乐,126,
Charlotte,Alex de Grassi、,轻音乐、,抒情、放松、,纯音乐,69,
The Scientist,Calum Graham、,,冥想、平静、放松、,英语,84,
A Walk to the Lake,John H. Clarke、,古典、,清新、放松、,纯音乐,90,
黄昏,押尾コータロー、,,,纯音乐,107,
New Day New Life,井草圣二、,流行-器乐流行、民谣、,放松、清新、,纯音乐,114,
Theme from The Princess Bride,Alex de Grassi、,流行、,抒情、放松、,纯音乐,89,
Safe Haven,Sönke Meinen、,摇滚-民谣摇滚、,抒情、放松、,英语,117,
Andecy,Andrew York、,轻音乐、,平静、放松、学习、冥想、,英语,155,
Since We Met,Tommy Emmanuel、,民谣-当代民谣、,清新、放松、,纯音乐,88,
"2 Arabesques, L. 66: No. 1, Andantino con moto (Transcr. for Guitar Duo)",Davide Giovanni Tomasi、Marco Musso、,古典、,平静、放松、冥想、,纯音乐,142,
LOVIN' YOU,押尾コータロー、,流行-器乐流行、,,纯音乐,112,
As We Go,Craig D'Andrea、,流行-器乐流行、,清新、快乐、放松、轻快、,纯音乐,73,
Sunflower (Looper Version),井草圣二、,爵士、流行-器乐流行、,抒情、放松、,纯音乐,138,
Heart of Gold,Guitar Dreamers、,摇滚、,平静、放松、,纯音乐,173,
Advent Wreath,井草圣二、,,放松、治愈、,纯音乐,170,
Ohio,Guitar Dreamers、,摇滚、,平静、放松、,,155,
ONE,井草圣二、,流行-器乐流行、民谣、,清新、放松、,纯音乐,71,
Old Man,Guitar Dreamers、,摇滚、,平静、放松、,,143,
いい日だったね。,DEPAPEPE、,流行-日本流行、流行-器乐流行、,,纯音乐,117,
I'm a Mess,Guitar Dreamers、,摇滚、,清新、放松、,,140,
What a Friend We Have in Jesus,Doyle Dykes、Tommy Emmanuel、,,平静、放松、,英语,143,
Canarios,Phil Keaggy、,,可爱、快乐、放松、,纯音乐,,
La Certeza,Doyle Dykes、,,清新、放松、,英语,176,
Spanish Fantasy,Phil Keaggy、,,梦幻、放松、治愈、冥想、,纯音乐,,
Nordamerica,Pino Forastiere、,流行-器乐流行、,抒情、放松、,英语,,
Sí Bheag Sí Mhór,Alex de Grassi、,新世纪-精神新世纪、,抒情、,纯音乐,109,
Cinema Paradiso,Phil Keaggy、,,抒情、,纯音乐,,
Turning: Turning Back,Alex de Grassi、,新世纪、,放松、冥想、,纯音乐,,
