歌名,歌手,曲风,推荐标签,语种,BPM,乐评
外南街小孩,张杰、,流行-华语流行、,抒情、动感、悲伤、梦幻、抑郁、可爱、快乐、思念、放松、憧憬、治愈、酒吧、正直、洒脱、正能量、亲情、大气、遗憾、感人、,国语,84,
现在我很幸福,黄丽玲、,流行-华语流行、,抒情、,国语,99,
和你一样,李宇春、,流行-华语流行、,热血、抒情、动感、悲伤、爱情、思念、放松、治愈、KTV、正能量、,国语,83,
越来越不懂,蔡健雅、,流行-华语流行、,抒情、悲伤、爱情、思念、苦情、放松、,国语,68,
我爱,袁娅维TIA RAY、,节奏布鲁斯-流行灵魂乐、,动感、快乐、爱情、慵懒、浪漫、放松、,韩语,100,
挥着翅膀的女孩,容祖儿、,流行-华语流行、,热血、抒情、动感、悲伤、放松、KTV、正能量、,国语,81,
新的心跳,G.E.M.邓紫棋、,流行-华语流行、,动感、悲伤、快乐、活力、酒吧、轻快、正能量、,国语,120,
尚好的青春,孙燕姿、,流行-华语流行、,抒情、,国语,72,
最初的梦想,范玮琪、,流行-华语流行、,热血、抒情、动感、悲伤、KTV、校园、正能量、,国语,82,
光,刘惜君、,流行-华语流行、,悲伤、,国语,84,
送你一匹马,梁凡、,流行-华语流行、,抒情、放松、,国语,63,
姗姗,金玟岐、,流行-华语流行、,抒情、,国语,60,
太聪明,陈绮贞、,流行-华语流行、,抒情、清新、悲伤、爱情、放松、治愈、遗憾、,国语,65,
达尔文,蔡健雅、,流行-华语流行、,抒情、悲伤、平静、快乐、爱情、思念、浪漫、放松、憧憬、治愈、孤独、正直、,国语,77,
老街,李荣浩、,节奏布鲁斯、流行-华语流行、,抒情、悲伤、快乐、爱情、思念、慵懒、放松、孤独、酒吧、感人、,国语,89,
你是我的小时候,李尚尚、,流行-华语流行、,抒情、悲伤、思念、KTV、,华语,74,
云还在唱歌,张杰、,流行-华语流行、,抒情、,国语,68,
小小,容祖儿、,流行-华语流行、,抒情、悲伤、爱情、思念、苦情、孤独、遗憾、感人、,国语,89,
越长大越孤单,牛奶咖啡、,流行-华语流行、,热血、动感、悲伤、爱情、孤独、KTV、校园、,国语,81,
当你孤单你会想起谁,张栋梁、,流行-华语流行、,抒情、悲伤、爱情、思念、孤独、KTV、旅游、,国语,90,
我也曾是你 (feat. 王紫璇),于文文、王紫璇、,流行、,抒情、悲伤、思念、,华语,74,
南国的孩子,张悬、,民谣-华语民谣、,抒情、悲伤、放松、孤独、酒吧、,国语,87,
给过去的自己,简弘亦、,流行-华语流行、,抒情、放松、,华语,,
女孩,欧阳娜娜、,流行-华语流行、,抒情、,华语,113,
会过去的,车婉婉、许志安、,流行-粤语流行、,抒情、悲伤、爱情、思念、KTV、,粤语,72,
呼吸决定,Fine乐团、,节奏布鲁斯-灵魂乐、节奏布鲁斯-当代节奏布鲁斯、流行-华语流行、,抒情、清新、幸福、悲伤、平静、快乐、爱情、思念、慵懒、浪漫、放松、孤独、助眠、酒吧、轻快、遗憾、,国语,75,
给从前的自己,陈楚生、陆虎、,原声带-综艺原声、流行-华语流行、,抒情、,国语,115,
记事本,陈慧琳、,流行-华语流行、,抒情、悲伤、爱情、思念、苦情、孤独、KTV、,国语,83,
开始懂了,孙燕姿、,流行-华语流行、,抒情、,国语,117,
裂缝中的阳光,林俊杰、,流行-华语流行、,抒情、动感、悲伤、爱情、思念、浪漫、孤独、正能量、遗憾、,国语,84,
如果你也这样过,尤长靖、,流行-华语流行、,热血、抒情、动感、悲伤、思念、放松、孤独、正能量、,国语,123,
歌儿,张敬豪MR.HOW、,流行-华语流行、,抒情、动感、悲伤、酒吧、,国语,80,
