歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Chunky,Kompany、Effin、,电子-Riddim Dubstep、,激烈、,英语,75,
Flesh Eaters,Eptic、,电子-电子舞曲、,抒情、,英语,72,
Torque,Space Laces、,电子-Riddim Dubstep、,快乐、轻快、,英语,72,
Ronin,Stabby、,电子-Brostep、,动感、活力、夜店、,纯音乐,,
Generals,Trampa、Killa P、Vulgatron、,电子-回响贝斯、,热血、动感、活力、夜店、,英语,139,
Roots,Adair、,电子-Brostep、,动感、活力、放松、夜店、,英语,150,
Back to the Future (feat. Dubloadz),Dubloadz、JVST SAY YES、,电子-电子舞曲、,动感、活力、放松、,英语,127,
Purple Boots,Big Voyage、,,动感、放松、感人、抒情、治愈、激烈、,欧美,,
Friendly Fire,Adair、,电子-电子舞曲、,,,,
Guess Who,Tisoki、Tank Parade、,电子-Brostep、,,英语,75,
LDN,Foreign Beggars、Alix Perez、,电子-电子舞曲、,,英语,69,
Goliath,DMVU、,,,,,
Goodnight,The Arcturians、,电子、,夜店、放松、,英语,,
HartyHar,Dr. Ozi、,电子-回响贝斯、电子-电子舞曲、,,英语,,
Spy Kidz,Bandlez、,电子-Riddim Dubstep、,抒情、,纯音乐,,
Shut It Down,TYNAN、Sharps、Sam King、,电子-电子舞曲、,动感、活力、夜店、,英语,150,
Something To Believe In,Doctor P、,电子-Riddim Dubstep、,动感、活力、放松、夜店、,英语,72,
Hell,Hatcha、,电子-Riddim Dubstep、,动感、活力、放松、,英语,,
Duct Tape Dub,The Frim、,电子、,,英语,139,
Destroy All Humans,Oski、,电子、,夜店、动感、活力、,英语,75,
No Time,Herobust、Laxx、,电子-回响贝斯、电子-电子舞曲、,悲伤、抑郁、,英语,152,
Let's Get It,Franky Nuts、,电子-Brostep、,热血、动感、活力、,英语,75,
Like A Bitch,Zomboy、,电子-回响贝斯、,热血、动感、活力、夜店、酒吧、极限运动、举铁、,英语,149,
Delinquent,Big Voyage、,电子、,动感、热血、活力、,英语,150,
What You Gonna Do About It,Flux Pavilion、,电子、,夜店、,英语,,
High Pulse,Dr. Ozi、,电子-回响贝斯、电子-电子舞曲、,,英语,,
Masterpiece,DaBaby、,嘻哈说唱、,动感、活力、,英语,70,
Back Once Again,Zomboy、,电子-Brostep、,动感、夜店、,纯音乐,139,
My Sound,Twine、,电子-电子舞曲、,,英语,152,
Quantum,Astronaut、,电子-Complextro、,动感、活力、夜店、,英语,127,
More Baby,Chris Lake、Aluna、,电子、,动感、活力、放松、正能量、,英语,125,
Coming Your Way,Michael Brun、Anne-Marie、Becky G、,流行、,活力、动感、,英语,54,
Close Enough,OTR、Kacy Hill、,电子、,抒情、梦幻、放松、憧憬、,英语,96,
Never Gonna Drink Again,Carneyval、,流行、,动感、,英语,116,
Toxic,THYPONYX、Joanna VCRD、,电子、,抒情、,英语,129,
First Time,Surf Mesa、Stevie Appleton、,电子、,动感、活力、放松、,英语,125,
Days Before Grace,ZHU、,电子、,快乐、,英语,86,
Hold Me,Lavern、,电子、流行、,,英语,120,
Dance No More,Sunday Scaries、Kaleena Zanders、,电子、,动感、活力、,英语,127,
Drownin',Christian Eberhard、,电子、,快乐、轻快、,英语,120,
Beggin',Chris Lake、Aluna、,电子、,动感、慵懒、放松、,英语,125,
Pretty People,Dillon Francis、INJI、,电子、,动感、活力、,英语,130,
Goodies (Knock2 Remix),Dillon Francis、Knock2、,电子、,热血、动感、活力、,英语,125,
Chill Like That (Odd Mob Remix),Sunday Scaries、PiCKUPLiNES、Odd Mob、,电子、,动感、夜店、,英语,133,
Conflicted,MYRNE、Manila Killa、,电子、,动感、活力、放松、,英语,125,
I Still Need You (Disco Lines Remix),ayokay、Disco Lines、,电子、,抒情、,英语,125,
Over & Over,Ship Wrek、,电子、,动感、活力、,英语,125,
Afterglow,Bob Moses、Kasablanca、,电子、,动感、活力、放松、,英语,60,
JOY (Easy To Improve),Joy Anonymous、,电子、,,英语,122,
**** A Hoe,DymV、,电子、,动感、可爱、快乐、,英语,129,
Ocean Of Tears,Imanbek、DVBBS、,电子、,动感、活力、放松、,英语,120,
Words (Majestic Remix),Alesso、Zara Larsson、Majestic、,电子、,动感、活力、放松、,英语,125,
Secrets,MYRNE、Jordan Hearn、,电子、,动感、活力、放松、,英语,127,
Fall In Love,Pascal Letoublon、MAXÉ、QUIZZO、,电子、,动感、活力、,英语,125,
I Wonder,ZHU、,电子、,动感、活力、,英语,125,
He Goes Down,Rain Radio、,电子、,,英语,125,
Where Did You Go?,Jax Jones、MNEK、,电子-巴西贝斯、,动感、活力、夜店、,英语,127,
Rainfall,Tom Santa、,电子、,动感、活力、夜店、,英语,129,
400,Chris Lake、,电子、,动感、活力、放松、夜店、,西班牙语,125,
Locked On You,kito、BROODS、,流行、,动感、放松、,英语,,
Waiting For,ayokay、slenderbodies、,电子、,动感、活力、,英语,142,
Zhudio54 (J. Worra Remix),ZHU、partywithray、J. Worra、,电子、,动感、活力、放松、,英语,125,
Oxygen (Franky Wah Remix),Gorgon City、Aura James、,电子、,动感、活力、,英语,125,
In My Mind,Alok、John Legend、Joel Corry、,流行、,动感、活力、夜店、,英语,122,
Monster,ZHU、John The Blind、,电子、,动感、酒吧、,英语,65,
Like That,ATB、Ben Samama、,电子、,动感、夜店、,英语,125,
Never Let Me Down,Gorgon City、Hayley May、,电子、,,英语,124,
Lose Control,Meduza、Becky Hill、Goodboys、,流行、,动感、活力、,英语,123,
Talk About,Rain Radio、DJ Craig Gorman、,电子、,动感、快乐、活力、,英语,125,
Hear Me Say,Jonas Blue、LÉON、,电子、,动感、快乐、活力、,英语,122,
False Reactions (LP Giobbi Remix),Lastlings、,电子、,动感、活力、,英语,,
Closer (Sonny Fodera Club Mix),Sonny Fodera、Just Kiddin、Lilly Ahlberg、,电子、,快乐、轻快、,英语,125,
Let Me Dance,Duke Dumont、Kid Enigma、,电子、,,英语,127,
U Already Know,DJ Seinfeld、Teira、,电子、,,纯音乐,,
All My Friends,CLMD、Broiler、Torine、,电子、,,英语,122,
Feels,Jax Jones、,电子、,,英语,125,
