歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Contemplation,Melody of Sound、,古典-当代古典音乐、古典-古典跨界、,平静、放松、冥想、,纯音乐,111,
Barcelona,Michiel Borstlap、,古典、,悲伤、,纯音乐,181,
We Will Last,Marta Lien、,流行、古典、,,纯音乐,,
Toys around,Mirta da Silva、,新世纪-冥想音乐、,悲伤、孤独、,纯音乐,92,
Expansion,Amalgamare、,民谣、,放松、,纯音乐,113,
Aster,Tig Martin、,新世纪-冥想音乐、,平静、放松、,,,
One Equal Music,Chris Tolley、,,,纯音乐,131,
Dreams of Us,William Cas、,,,纯音乐,153,
Common Ground,Camilla Turgot、,,平静、放松、,纯音乐,167,
Pagodes,Maru Gomes、,新世纪-冥想音乐、,抒情、,纯音乐,,
Separate In Time,Ximena López、,新世纪-冥想音乐、,,,,
For You,Joanne Gardiner、,古典、,抒情、思念、,纯音乐,170,
Between Us,Maria Buehler、,古典、,,纯音乐,162,
Presence,Aija Alsina、,古典-当代古典音乐、,,纯音乐,173,
Watching Her Go,Aleisha Millar、,古典、,,纯音乐,157,
Days Of Roses,Eva Brummel、,流行、古典、,,纯音乐,149,
Hopelijk,Annebelle Coenraad、,古典-古典跨界、,平静、放松、,纯音乐,163,
The Shadow Of The Wind,Dwight Rivera、,新世纪-冥想音乐、,,纯音乐,119,
Venetian Spring,Léa Corbelin、,新世纪、,,纯音乐,,
City Prelude,Julius Nilsson、,,平静、放松、冥想、,纯音乐,78,
Persistence,Gunnel Boek、,流行、轻音乐、,,纯音乐,,
diamond star,our distant worlds、,新世纪、,悲伤、孤独、,纯音乐,214,
Whispering Pines,Logan Collier、,古典-古典跨界、,平静、梦幻、放松、冥想、,纯音乐,131,
Time Passes Me By,En Sollozos、,新世纪-冥想音乐、,,,139,
Respiro,Con Alma、,古典、,平静、放松、冥想、,纯音乐,164,
Do we Dare to Dream?,Rebecca Kruse、,流行、古典、,,纯音乐,89,
Dream if I May,Aleron Lapointe、,流行、古典、,放松、,纯音乐,178,
In The End There's Grace,Jasmin Lambert、,流行、轻音乐、,,纯音乐,110,
Moondust,Nina Fiadh、,古典-古典跨界、,放松、,纯音乐,100,
Sun Breaks Through,Kristoffer Wallin、,新世纪、,,英语,,
Moonlight Waltz,Sarah Watson、,新世纪-冥想音乐、,,纯音乐,110,
They'll be out for us,Lara Di Umbra、,新世纪-冥想音乐、,平静、放松、冥想、,,128,
Esperanza,Daniel Schrage、,古典-古典跨界、,平静、放松、冥想、,纯音乐,105,
Sans fleurir,Revemont、,,平静、放松、,法语,132,
Marigold,Lydia Barnes、,古典-古典跨界、,平静、放松、冥想、,纯音乐,81,
Winona,Jorulf、,流行、轻音乐、,平静、梦幻、放松、,纯音乐,139,
A Winged Time,Keiko Ishida、,新世纪-冥想音乐、拉丁音乐、,,,,
Particle rise,Ama Hemmah、,新世纪-冥想音乐、,平静、梦幻、放松、冥想、,纯音乐,176,
Old Rocking Chair,Polly Carter、,新世纪、,平静、放松、冥想、,英语,137,
Ambiguos,Ivan Vladusic、,古典-古典跨界、,平静、放松、冥想、,纯音乐,198,
La Luz De La Primavera,Algot Brooke、,古典-古典跨界、,平静、梦幻、放松、冥想、,纯音乐,123,
Shimmer,Alda Monaldo、,流行、轻音乐、,平静、放松、冥想、,纯音乐,134,
Kastepiisk,Jan Thiel、,古典-当代古典音乐、,平静、放松、,纯音乐,150,
Fantasy,Oscar Mallen、,古典-新古典主义音乐、新世纪、,平静、放松、冥想、,,150,
